filter,subarray,photmjsr,uncertainty,t0,lossperyear,amplitude,tau,const
F1280W,BRIGHTSKY,0.40423038601875305,0.0013743257150053978,59720.0,0.004960034973919392,0.02355106733739376,100.0,0.9764489531517029
F1280W,SUB256,0.41454237699508667,0.001409385004080832,59720.0,0.004960034973919392,0.02355106733739376,100.0,0.9764489531517029
F1280W,SUB128,0.4062515199184418,0.0013811973622068763,59720.0,0.004960034973919392,0.02355106733739376,100.0,0.9764489531517029
F1280W,SUB64,0.42055022716522217,0.0014298108872026205,59720.0,0.004960034973919392,0.02355106733739376,100.0,0.9764489531517029
F1500W,FULL,0.36041274666786194,0.001696395454928279,59720.0,0.004393956158310175,0.011431979946792126,140.24168395996094,0.9885680079460144
F1500W,BRIGHTSKY,0.35861966013908386,0.0016879556933417916,59720.0,0.004393956158310175,0.011431979946792126,140.24168395996094,0.9885680079460144
F1500W,SUB256,0.3677681088447571,0.0017310158582404256,59720.0,0.004393956158310175,0.011431979946792126,140.24168395996094,0.9885680079460144
F1500W,SUB128,0.36041274666786194,0.001696395454928279,59720.0,0.004393956158310175,0.011431979946792126,140.24168395996094,0.9885680079460144
F1500W,SUB64,0.37309807538986206,0.0017561030108481646,59720.0,0.004393956158310175,0.011431979946792126,140.24168395996094,0.9885680079460144
F1800W,FULL,0.47617626190185547,0.0027498772833496332,59720.0,0.0048535848036408424,0.05018049478530884,354.6792297363281,0.9498195052146912
F1800W,BRIGHTSKY,0.4738072156906128,0.002736196154728532,59720.0,0.0048535848036408424,0.05018049478530884,354.6792297363281,0.9498195052146912
F1800W,SUB256,0.4858941435813904,0.0028059971518814564,59720.0,0.0048535848036408424,0.05018049478530884,354.6792297363281,0.9498195052146912
F1800W,SUB128,0.47617626190185547,0.0027498772833496332,59720.0,0.0048535848036408424,0.05018049478530884,354.6792297363281,0.9498195052146912
F1800W,SUB64,0.4929361045360565,0.0028466638177633286,59720.0,0.0048535848036408424,0.05018049478530884,354.6792297363281,0.9498195052146912
F2100W,FULL,0.3925222158432007,0.0016293968074023724,59720.0,0.01869283802807331,0.07449933886528015,105.94126892089844,0.9255006313323975
F2100W,BRIGHTSKY,0.3905693590641022,0.0016212903428822756,59720.0,0.01869283802807331,0.07449933886528015,105.94126892089844,0.9255006313323975
F2100W,SUB256,0.40053287148475647,0.0016626497963443398,59720.0,0.01869283802807331,0.07449933886528015,105.94126892089844,0.9255006313323975
F2100W,SUB128,0.3925222158432007,0.0016293968074023724,59720.0,0.01869283802807331,0.07449933886528015,105.94126892089844,0.9255006313323975
F2100W,SUB64,0.4063376784324646,0.0016867461381480098,59720.0,0.01869283802807331,0.07449933886528015,105.94126892089844,0.9255006313323975
F2550W,FULL,0.7158470749855042,0.006837888155132532,59720.0,0.0335136242210865,0.14257901906967163,93.28366088867188,0.8574209809303284
F2550W,BRIGHTSKY,0.7122856378555298,0.006803868804126978,59720.0,0.0335136242210865,0.14257901906967163,93.28366088867188,0.8574209809303284
F2550W,SUB256,0.7304561734199524,0.006977437064051628,59720.0,0.0335136242210865,0.14257901906967163,93.28366088867188,0.8574209809303284
F2550W,SUB128,0.7158470749855042,0.006837888155132532,59720.0,0.0335136242210865,0.14257901906967163,93.28366088867188,0.8574209809303284
F2550W,SUB64,0.7410424947738647,0.007078559137880802,59720.0,0.0335136242210865,0.14257901906967163,93.28366088867188,0.8574209809303284
F1065C,FULL,2.737339735031128,0.011468817479908466,59720.0,0.002443914534524083,0.003383214585483074,100.0,0.996616780757904
F1065C,MASK1065,2.737339735031128,0.011468817479908466,59720.0,0.002443914534524083,0.003383214585483074,100.0,0.996616780757904
F1140C,FULL,2.8537302017211914,0.02123185433447361,59720.0,0.0024069570936262608,0.00028886483050882816,100.0,0.9997111558914185
F1140C,MASK1140,2.8537302017211914,0.02123185433447361,59720.0,0.0024069570936262608,0.00028886483050882816,100.0,0.9997111558914185
F1550C,FULL,3.5079355239868164,0.016848793253302574,59720.0,0.004465857055038214,0.01753808744251728,174.03848266601562,0.9824619293212891
F1550C,MASK1550,3.5079355239868164,0.016848793253302574,59720.0,0.004465857055038214,0.01753808744251728,174.03848266601562,0.9824619293212891
F2300C,FULL,0.7843500375747681,0.006446143612265587,59720.0,0.024914801120758057,0.10308533906936646,100.62788391113281,0.8969146609306335
F2300C,MASKLYOT,0.7843500375747681,0.006446143612265587,59720.0,0.024914801120758057,0.10308533906936646,100.62788391113281,0.8969146609306335
FND,FULL,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
FND,MASK1065,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
FND,MASK1140,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
FND,MASK1550,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
FND,MASKLYOT,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
FND,SLITLESSPRISM,49.05655288696289,0.5170990228652954,59720.0,0.004937309771776199,0.023064007982611656,101.61681365966797,0.9769359827041626
